"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","引体向上","总分"
"909",171.5,74.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",54.7
"910",170.3,55,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",69
"911",163.1,67.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",64.3
"912",169.7,67.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",64
"913",175.6,75.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",52.7
"914",181.2,92.8,"肥胖","肺活量优秀","50米优秀","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",72.8
"915",175.5,100.6,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.8
"916",178.4,63.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",66.2
"917",171.9,72.4,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.5
"918",171.5,77.6,"超重","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",38.6
"919",168.1,67,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",74.7
"920",170.8,61.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上及格",73.3
"921",159.4,52.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",64.2
"922",168.7,51.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上及格",68
"923",168.4,62.9,"正常","肺活量及格","50米优秀","立定跳远优秀","坐位体前屈及格","1000米及格","引体向上良好",85.1
"924",171.9,52.5,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈良好","1000米及格","引体向上及格",74.5
"925",181.2,125.5,"肥胖","肺活量优秀","50米不及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",47.3
"926",173.7,74.8,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",59.6
"927",166.2,77.7,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",59.2
"928",177.1,94.2,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",59.2
"929",170.5,90.1,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",66.6
"930",171.1,62.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上优秀",80.2
"931",166.8,75.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上及格",68.1
"932",171.2,66.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上良好",78.4
"933",175.9,63.9,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",81.7
"934",164,46.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上优秀",77.5
"935",182.1,69.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.7
"936",156.1,58.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",69.7
"937",174.9,65.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",71
"938",165,60,"正常","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",50.9
"939",168.9,101.2,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",55
"940",168.1,53.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",74.9
"941",172.2,62.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",73.3
"942",167.8,57,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",71.9
"943",173.4,56,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",72.6
"944",174,67.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70
"945",173.9,65.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",74.5
"946",167.5,71.9,"超重","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",73.9
"947",164.6,70.1,"超重","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",73.8
"948",178.1,65.1,"正常","肺活量优秀","50米优秀","立定跳远优秀","坐位体前屈及格","1000米及格","引体向上及格",88.8
"949",160,58.2,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上良好",81.5
"950",168.1,60.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",68.4
"951",165.5,67.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",74.4
"952",175,80,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",67.6
"953",177.2,66.5,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",78
"954",167.8,63,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",74.4
"955",178.7,81.7,"超重","肺活量良好","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上及格",76
"956",166.9,70.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",61.8
"957",168,80.9,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",58.8
"958",160.8,62.9,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",69.6
"959",177.2,57.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",75.2
"960",166.9,57.8,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上优秀",73.4
"961",168.3,78.6,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",61.9
"962",163.1,56.1,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",72
"963",163.8,54,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",61.5
"964",176.5,70,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",80.2
"965",170.3,66.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上优秀",79.7
"966",170.9,67.8,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈良好","1000米良好","引体向上及格",81.9
"967",169.5,55,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.5
"968",167.2,62.1,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米良好","引体向上不及格",78.1
"969",176.5,55.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",71.7
"970",154.4,51.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",65.5
"971",176.5,57.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.6
"972",167.5,82.7,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",55.4
"973",175.6,87.1,"肥胖","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",53.5
"974",173.7,54.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",81.7
"975",164.4,63.6,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米良好","引体向上优秀",85.9
"976",177.2,63.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",71.2
"977",160.8,66.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上良好",73.8
"978",174.9,58,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",76.3
"979",176.5,77.2,"超重","肺活量良好","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上及格",76.4
"980",169.4,64.2,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",79.8
"981",172.5,80,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",75.2
"982",166.9,57,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.5
"983",168.7,56.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.8
"984",165.7,74,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.9
"985",173,53.4,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上及格",62.2
"986",170.4,51,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",68.7
"987",178,89.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",66.3
"988",170.7,65.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上及格",66.1
"989",171,67.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",63.3
"990",171.9,69.1,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.9
"991",168.4,51,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上良好",78.5
"992",172,67.6,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米不及格","引体向上及格",75.4
"993",191.9,110.7,"肥胖","肺活量优秀","50米优秀","立定跳远不及格","坐位体前屈不及格","1000米不及格","引体向上不及格",61
"994",185.6,91.4,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",57
"995",172.7,73,"超重","肺活量良好","50米良好","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上及格",70.4
"996",181,67,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",74.1
"997",173,87.9,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",53.4
"998",165.7,69,"超重","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",75
"999",176.2,65.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米不及格","引体向上不及格",67.4
"1000",176,59.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",74.4
"1",180.6,67.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.2
"2",173.7,58.3,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",77.5
"3",173.4,65.4,"正常","肺活量良好","50米良好","立定跳远良好","坐位体前屈良好","1000米优秀","引体向上不及格",81
"4",167.2,77.9,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",58.4
"5",165,67,"超重","肺活量良好","50米优秀","立定跳远及格","坐位体前屈及格","1000米优秀","引体向上及格",83
"6",169.4,69.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",65.9
"7",185,70,"正常","肺活量良好","50米良好","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",68.9
"8",162,96,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈优秀","1000米不及格","引体向上不及格",52.6
"9",165,57,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米良好","引体向上不及格",74.9
"10",174,67,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",71.9
"11",170.6,102.4,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",57.9
"12",174,90.5,"肥胖","肺活量及格","50米及格","立定跳远优秀","坐位体前屈优秀","1000米不及格","引体向上不及格",61.5
"13",175,65,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",74.5
"14",170.9,54.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.6
"15",177.8,77.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",64.8
"16",181.5,82.5,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",62.2
"17",166.2,82.3,"肥胖","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",50.6
"18",165.3,51.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",64.2
"19",169.7,75.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",60.2
"20",167.5,57.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",71
"21",167.5,67,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",74.3
"22",170.6,52.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",70.4
"23",156.4,50.2,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",49.6
"24",186.8,83.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",59.8
"25",170.6,68.1,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",66.9
"26",177,73,"正常","肺活量优秀","50米及格","立定跳远良好","坐位体前屈及格","1000米及格","引体向上及格",82.8
"27",179,73,"正常","肺活量良好","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.4
"28",169.1,60,"正常","肺活量优秀","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.6
"29",178.4,64.6,"正常","肺活量优秀","50米及格","立定跳远优秀","坐位体前屈良好","1000米不及格","引体向上不及格",67.5
"30",190,77,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",74.6
"31",172,69,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上及格",69
"32",162.8,58.5,"正常","肺活量优秀","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.2
"33",168.1,67.2,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",63.7
"34",180,82,"超重","肺活量良好","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",57.2
"35",175.3,62,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.9
"36",174,62,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",76.6
"37",172,53,"正常","肺活量良好","50米优秀","立定跳远良好","坐位体前屈优秀","1000米优秀","引体向上及格",91.9
"38",175,76,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.3
"39",176,78,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",63.7
"40",170.3,56.9,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",54.3
"41",181,83,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",64.4
"42",173,55,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",72.3
"43",177.8,55.1,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",51.9
"44",176.2,58.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.4
"45",174,71.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",68.7
"46",173.9,56.3,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",60.6
"47",183.7,68.5,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",65.2
"48",176.5,65.3,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",77.7
"49",171.9,63.4,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈良好","1000米优秀","引体向上不及格",76.7
"50",170,56.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",73.3
"51",185,63.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",69.3
"52",172.2,71.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.7
"53",181.5,69.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",74.5
"54",176.8,74.4,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",65.2
"55",175,104.5,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",47.5
"56",175,68.3,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",65.4
"57",186.2,84.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",62
"58",166.2,81.3,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",61.2
"59",182.1,64.8,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",68.5
"60",175.6,59.3,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",70.5
"61",164.7,55.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.5
"62",170.9,77.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",62
"63",177.5,74.6,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",66.2
"64",175.9,63.9,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",73.4
"65",176.5,81.2,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈不及格","1000米不及格","引体向上不及格",59.2
"66",180.3,63.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",65.2
"67",171.5,65.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",66.4
"68",179.7,67.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米良好","引体向上不及格",74.9
"69",163.4,67.3,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.8
"70",173,68,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",73.9
"71",178.4,59.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.6
"72",173.7,53.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63.4
"73",178,70.5,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",65.3
"74",170.9,51.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",63
"75",171.5,67.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",70.7
"76",169.1,58,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上良好",77.5
"77",163.4,66.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",64.5
"78",167,62.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.9
"79",170.9,87.3,"肥胖","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",50
"80",170,52,"正常","肺活量及格","50米不及格","立定跳远良好","坐位体前屈优秀","1000米不及格","引体向上良好",59.9
"81",172,86.3,"肥胖","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",48.8
"82",175,65.5,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",78.8
"83",167.5,64.3,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",69.3
"84",159.4,67.7,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.3
"85",170,60.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",69.4
"86",175.3,64.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米优秀","引体向上及格",80.1
"87",190.6,66.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米不及格","引体向上不及格",64.5
"88",171.9,98.7,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",47.8
"89",172.8,65.8,"正常","肺活量良好","50米优秀","立定跳远良好","坐位体前屈及格","1000米良好","引体向上及格",82.5
"90",178.6,59.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",64.6
"91",176.2,61.8,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",73.3
"92",162.2,53.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",70.9
"93",176.8,94.9,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56.2
"94",179.3,69.3,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",64.1
"95",177.2,61.9,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","1000米不及格","引体向上不及格",65.5
"96",170,82,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",62
"97",170.3,61.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上及格",77
"98",184.4,78.1,"正常","肺活量优秀","50米及格","立定跳远良好","坐位体前屈良好","1000米及格","引体向上不及格",75.1
"99",177.2,90.7,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",56
"100",170.4,61.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",77.1
"101",178.7,64.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",62.8
"102",172.8,74,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",71.6
"103",177.8,89.8,"肥胖","肺活量良好","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",60.4
"104",175.2,68.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","1000米及格","引体向上及格",76.4
"105",178.7,71.9,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",67.8
"106",172.8,52.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",64.8
"107",166.6,65.9,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","1000米及格","引体向上良好",76.5
"108",170.9,73.2,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上及格",77.4
"109",175.6,57,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",52.6
"110",169.1,104,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",49.6
"111",184.6,69.1,"正常","肺活量优秀","50米良好","立定跳远优秀","坐位体前屈良好","1000米及格","引体向上不及格",79.5
"112",176.2,103,"肥胖","肺活量良好","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",57.8
"113",171.5,73.9,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米及格","引体向上不及格",67.6
"114",176.2,87.6,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","1000米及格","引体向上不及格",54.5
"115",174.8,64.1,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","1000米不及格","引体向上不及格",62.2
"116",167.2,66.6,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米不及格","引体向上不及格",52.2
"117",173.1,65,"正常","肺活量及格","50米优秀","立定跳远良好","坐位体前屈及格","1000米及格","引体向上不及格",72.4
"118",175.6,82.4,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米良好","引体向上不及格",69
"119",160.6,61.8,"正常","肺活量不及格","50米良好","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",61.9
"120",174,59.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",62.9
"121",172.7,77,"超重","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",71.8
"122",171.5,70.2,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",65
"123",167.7,82.7,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","1000米及格","引体向上不及格",56.3
"124",171.9,55.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上及格",77.2
"125",178.1,63.1,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈良好","1000米及格","引体向上不及格",80.9
"126",171.9,73.6,"超重","肺活量良好","50米良好","立定跳远良好","坐位体前屈良好","1000米良好","引体向上不及格",74.5
"127",171.8,67.9,"正常","肺活量良好","50米良好","立定跳远及格","坐位体前屈优秀","1000米及格","引体向上不及格",73.8
"128",173.7,78.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","1000米不及格","引体向上不及格",61.4
"129",179.9,59.1,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈优秀","1000米及格","引体向上不及格",74.2
