"编号","身高","体重","BMI","肺活量","短跑","立定跳远","坐位体前屈","长跑","一分钟仰卧起坐","总分"
"787",155.6,50.4,"正常","肺活量优秀","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",74
"788",154.4,46.3,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71
"789",152.8,50.6,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",65.8
"790",156.4,49.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",65.1
"791",163.1,70.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",59.5
"792",156,60.1,"超重","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",76
"793",164.7,58,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",73
"794",156.3,49.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.6
"795",152.8,57.5,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.7
"796",153.8,49.9,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.2
"797",164,53.2,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.3
"798",155.2,49.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",74.9
"799",155.2,62.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.2
"800",159.7,59,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.7
"1",158.6,83.6,"肥胖","肺活量及格","50米不及格","立定跳远良好","坐位体前屈不及格","800米及格","仰卧起坐及格",56.1
"2",166.7,60,"正常","肺活量良好","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",80
"3",161.1,59.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",71.8
"4",152.9,49.9,"正常","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",61.8
"5",162,55.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",70.1
"6",161.4,50.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",56.2
"7",159.5,52.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈优秀","800米优秀","仰卧起坐及格",93.9
"8",167.9,56.1,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",81.9
"9",158,48.4,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",64.7
"10",160.2,70,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.6
"11",149.9,41.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",60
"12",151.1,57.9,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.9
"13",155.3,47.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐良好",76.5
"14",154.2,45,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",82.9
"15",150.8,50.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐及格",79.9
"16",173.9,60.8,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",82.5
"17",163.9,61.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",68.7
"18",153.9,52.5,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.3
"19",158.8,57.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",65.9
"20",159.8,52.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.7
"21",151.1,57.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",67.9
"22",155.2,44,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",79.9
"23",156.4,47.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",75.1
"24",165.2,51,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","800米及格","仰卧起坐及格",79.2
"25",157.2,62,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.7
"26",157.2,50,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐不及格",65.5
"27",155.2,45,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.5
"28",169.8,62.2,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈良好","800米不及格","仰卧起坐不及格",67.6
"29",159.2,48.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米优秀","仰卧起坐及格",78.2
"30",155.2,50,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",62.6
"31",157,52.1,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米不及格","仰卧起坐不及格",61.3
"32",159.5,46.7,"正常","肺活量优秀","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",62.5
"33",161.4,58,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",77.8
"34",158,53.2,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.2
"35",148.6,51.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.8
"36",163,52.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.6
"37",150.7,48.1,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈优秀","800米及格","仰卧起坐及格",73.2
"38",157.7,48.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.5
"39",165.8,56.1,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",70.2
"40",156.4,41,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",74.1
"41",155.6,44.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.8
"42",168.6,56.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐不及格",72.3
"43",169.8,53,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","800米良好","仰卧起坐及格",81
"44",147.7,51.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.3
"45",158.2,55,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",44.1
"46",153.9,43.3,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","800米优秀","仰卧起坐良好",82.3
"47",155.1,60.2,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70
"48",149.9,43.3,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",73
"49",155.3,52.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.6
"50",164.4,49.1,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米优秀","仰卧起坐及格",81.6
"51",170.7,50.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐及格",63
"52",162.6,59.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米不及格","仰卧起坐不及格",61.3
"53",167.5,61,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",58.7
"54",159.2,54,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米优秀","仰卧起坐及格",82.6
"55",163.6,54.5,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",54.2
"56",162.2,70,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈优秀","800米不及格","仰卧起坐及格",65.7
"57",160.1,46.2,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",70.4
"58",161.1,50.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐不及格",73
"59",163.5,58.3,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",76.6
"60",159.8,54.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",66.7
"61",158.6,50.1,"正常","肺活量及格","50米良好","立定跳远及格","坐位体前屈及格","800米优秀","仰卧起坐及格",82.6
"62",161.4,55.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐良好",67.1
"63",150.8,56.7,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",73.4
"64",165.8,63.2,"正常","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐及格",54.1
"65",157.8,65,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",74.9
"66",165.8,48.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.3
"67",165.1,72.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",69.5
"68",156.4,56.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",78.5
"69",158.3,48.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",71.9
"70",165.8,53.1,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐不及格",54
"71",157.2,53,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",76.3
"72",165.4,75.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.8
"73",167.2,49.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.3
"74",158.3,42.7,"正常","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",53.7
"75",149.5,46.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73
"76",160.1,50.9,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.8
"77",159.5,52.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.7
"78",164.2,67.5,"超重","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",74.5
"79",156.4,47.3,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",65.5
"80",163.6,55.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米良好","仰卧起坐及格",78.2
"81",155.2,46.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",73.5
"82",166.7,49.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.5
"83",149.2,47.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.9
"84",153.3,66.9,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.8
"85",166.4,67,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","800米及格","仰卧起坐及格",66.2
"86",168.9,59.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",68.5
"87",161.6,72,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.5
"88",164.5,51,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",75.6
"89",163.3,60.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.2
"90",151.1,46.6,"正常","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",61
"91",166.3,45.7,"正常","肺活量不及格","50米不及格","立定跳远良好","坐位体前屈及格","800米不及格","仰卧起坐不及格",45.2
"92",158.9,47.7,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.4
"93",156.6,61.8,"超重","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",59.8
"94",155.2,58.9,"超重","肺活量不及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐不及格",62.9
"95",167.3,54.5,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",61.8
"96",155.5,52.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.9
"97",150.8,72.1,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",60.9
"98",163,72.2,"超重","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐及格",42.5
"99",151.2,47.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.2
"100",154.5,60.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",65
"101",164.5,50.2,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",58.6
"102",152.7,55.8,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈不及格","800米及格","仰卧起坐及格",57.9
"103",158.6,58.9,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.8
"104",156.3,49.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",64.7
"105",162.3,53.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.6
"106",159.8,52.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",66.3
"107",162.3,50.8,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",74.9
"108",158.9,58.2,"正常","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐不及格",59.5
"109",163.8,48.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈不及格","800米及格","仰卧起坐及格",72.5
"110",157.3,46.2,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.7
"111",167,61.9,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.2
"112",155.2,56.8,"正常","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈不及格","800米及格","仰卧起坐及格",61.2
"113",159.5,53.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.7
"114",164.4,62.2,"正常","肺活量不及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",68
"115",165.8,52.3,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.3
"116",166.4,73.4,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.3
"117",154.2,45.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",68.9
"118",163.2,63,"正常","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",60.4
"119",161.1,58.5,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.5
"120",155.3,51.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.7
"121",161.7,52.3,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",70.6
"122",159.3,59.5,"正常","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",43.8
"123",159.2,50,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.2
"124",163.2,50,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76
"125",160.1,54.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",59.2
"126",160.2,50.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.5
"127",159.2,52,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",59.2
"128",159.2,58.3,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",79.9
"129",154.2,54.8,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",75.5
"130",159.8,52.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.1
"131",161.4,47,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.2
"132",159.8,51.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米良好","仰卧起坐及格",79.2
"133",157,52.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",78.3
"134",169.8,58.2,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐及格",77.2
"135",146.7,56.1,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",62
"136",161.1,51,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.8
"137",158.3,53.5,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",81.6
"138",157,54.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.7
"139",158.6,49,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",77.9
"140",158.3,58.4,"正常","肺活量良好","50米良好","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",82.1
"141",169.7,60.8,"正常","肺活量优秀","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.4
"142",159.2,54.2,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",62
"143",155.2,52,"正常","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.3
"144",159.5,52.8,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐优秀",76.6
"145",142.2,57.6,"肥胖","肺活量不及格","50米不及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",48.6
"146",166.7,49.3,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",84.5
"147",159.1,61,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",71.3
"148",151.1,68.9,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",62.8
"149",154.8,49.9,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",61.9
"150",159.5,70.3,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",67.7
"151",156.7,53.4,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈良好","800米及格","仰卧起坐及格",78
"152",167.6,54.4,"正常","肺活量及格","50米优秀","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",83.5
"153",165.8,52.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",79.4
"154",165.4,66.1,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐良好",78.4
"155",161.1,48.6,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",76.6
"156",160,44.2,"正常","肺活量及格","50米及格","立定跳远优秀","坐位体前屈及格","800米优秀","仰卧起坐及格",81.5
"157",154.8,50,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",78.1
"158",155.6,59.9,"超重","肺活量优秀","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",73.4
"159",155.5,50.7,"正常","肺活量及格","50米良好","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",78.9
"160",154.8,63.4,"超重","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",73.4
"161",157.2,75.5,"肥胖","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.2
"162",159.2,52.3,"正常","肺活量良好","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐良好",75.1
"163",155.3,76.1,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",64.7
"164",159.4,51.5,"正常","肺活量优秀","50米及格","立定跳远及格","坐位体前屈及格","800米良好","仰卧起坐及格",83
"165",155.2,48.8,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米良好","仰卧起坐及格",78.7
"166",164.5,52.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米不及格","仰卧起坐及格",70.7
"167",148.6,56.6,"超重","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐良好",65.3
"168",167.3,82.9,"肥胖","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米不及格","仰卧起坐及格",61.7
"169",160,54.4,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.4
"170",176,65.2,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",74.2
"171",149.9,49.6,"正常","肺活量良好","50米不及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐不及格",52.6
"172",163.9,63.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐优秀",77.2
"173",161.7,56.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",75.7
"174",150.8,59.2,"超重","肺活量及格","50米优秀","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐良好",80.2
"175",153.9,80.4,"肥胖","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈良好","800米不及格","仰卧起坐及格",48.7
"176",153.6,51.5,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈良好","800米及格","仰卧起坐及格",73.6
"177",154.2,53.6,"正常","肺活量及格","50米不及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐良好",67.3
"178",154.2,61.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.5
"179",151.7,66.4,"肥胖","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",66.1
"180",166.2,60,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.3
"181",160.1,45,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐优秀",77.4
"182",162.5,66,"超重","肺活量及格","50米不及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.2
"183",162.6,72.9,"超重","肺活量及格","50米优秀","立定跳远及格","坐位体前屈良好","800米及格","仰卧起坐及格",78.7
"184",159.5,53.6,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",78.4
"185",160.1,56.9,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐优秀",79.2
"186",160,46.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.7
"187",164.4,57.7,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",76.1
"188",151.7,56.8,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.5
"189",158.6,51.9,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",73.7
"190",163.9,59.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",72.5
"191",161.1,56.3,"正常","肺活量良好","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐优秀",76.3
"192",161.4,66,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",70
"193",164.2,52.5,"正常","肺活量及格","50米及格","立定跳远良好","坐位体前屈及格","800米及格","仰卧起坐及格",73.9
"194",162.6,53,"正常","肺活量不及格","50米及格","立定跳远及格","坐位体前屈不及格","800米及格","仰卧起坐优秀",66
"195",160,58.3,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈优秀","800米及格","仰卧起坐优秀",80
"196",162,52.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",75.7
"197",158.3,48.3,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米不及格","仰卧起坐良好",63.2
"198",146.7,46.2,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐良好",74.7
"199",159.8,48.4,"正常","肺活量及格","50米及格","立定跳远不及格","坐位体前屈及格","800米及格","仰卧起坐及格",70.8
"200",160,59.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",74.2
"201",159.5,67.6,"超重","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐及格",69.7
"202",163.3,61.1,"正常","肺活量及格","50米及格","立定跳远及格","坐位体前屈及格","800米及格","仰卧起坐不及格",68.1
